2017-02-12 11:38:53,217 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:38:53,236 [main] INFO  o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping [Method=<init>] [Line=510] - Adding welcome page: class path resource [static/index.html]
2017-02-12 11:38:53,325 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter [Method=afterSingletonsInstantiated] [Line=431] - Registering beans for JMX exposure on startup
2017-02-12 11:38:53,371 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer [Method=start] [Line=192] - Tomcat started on port(s): 8085 (http)
2017-02-12 11:38:53,374 [main] INFO  c.a.t.DemoAngularBootApplication [Method=logStarted] [Line=57] - Started DemoAngularBootApplication in 2.154 seconds (JVM running for 2.551)
2017-02-12 11:39:13,326 [http-nio-8085-exec-1] INFO  o.a.c.c.C.[.[.[/] [Method=log] [Line=179] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-02-12 11:39:13,327 [http-nio-8085-exec-1] INFO  o.s.w.s.DispatcherServlet [Method=initServletBean] [Line=489] - FrameworkServlet 'dispatcherServlet': initialization started
2017-02-12 11:39:13,343 [http-nio-8085-exec-1] INFO  o.s.w.s.DispatcherServlet [Method=initServletBean] [Line=508] - FrameworkServlet 'dispatcherServlet': initialization completed in 13 ms
2017-02-12 11:39:35,383 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStarting] [Line=48] - Starting DemoAngularBootApplicationTests on Sancardenasv-PC with PID 3420 (started by Sancardenasv in C:\Users\Sancardenasv\workspace\demo-angular-boot)
2017-02-12 11:39:35,384 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStartupProfileInfo] [Line=641] - The following profiles are active: production
2017-02-12 11:39:35,426 [main] INFO  o.s.w.c.s.GenericWebApplicationContext [Method=prepareRefresh] [Line=582] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@41c62850: startup date [Sun Feb 12 11:39:35 COT 2017]; root of context hierarchy
2017-02-12 11:39:36,097 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration' of type [class org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:39:36,159 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'validator' of type [class org.springframework.validation.beanvalidation.LocalValidatorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:39:36,645 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Method=initControllerAdviceCache] [Line=534] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@41c62850: startup date [Sun Feb 12 11:39:35 COT 2017]; root of context hierarchy
2017-02-12 11:39:36,706 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/api/contactList],methods=[GET]}" onto public java.util.List<com.aldeamo.training.entity.Contact> com.aldeamo.training.controller.DemoAngularBootController.returnContactList()
2017-02-12 11:39:36,708 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-02-12 11:39:36,712 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-02-12 11:39:36,737 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:39:36,738 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:39:36,774 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:39:36,800 [main] INFO  o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping [Method=<init>] [Line=510] - Adding welcome page: ServletContext resource [/index.html]
2017-02-12 11:39:36,925 [main] INFO  c.a.t.DemoAngularBootApplicationTests [Method=logStarted] [Line=57] - Started DemoAngularBootApplicationTests in 1.939 seconds (JVM running for 3.539)
2017-02-12 11:39:36,964 [Thread-2] INFO  o.s.w.c.s.GenericWebApplicationContext [Method=doClose] [Line=987] - Closing org.springframework.web.context.support.GenericWebApplicationContext@41c62850: startup date [Sun Feb 12 11:39:35 COT 2017]; root of context hierarchy
2017-02-12 11:43:00,950 [RMI TCP Connection(2)-192.168.0.18] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin [Method=shutdown] [Line=125] - Application shutdown requested.
2017-02-12 11:43:00,950 [RMI TCP Connection(2)-192.168.0.18] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [Method=doClose] [Line=987] - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6150c3ec: startup date [Sun Feb 12 11:38:51 COT 2017]; root of context hierarchy
2017-02-12 11:43:00,954 [RMI TCP Connection(2)-192.168.0.18] INFO  o.s.j.e.a.AnnotationMBeanExporter [Method=destroy] [Line=449] - Unregistering JMX-exposed beans on shutdown
2017-02-12 11:43:03,382 [main] INFO  c.a.t.DemoAngularBootApplication [Method=logStarting] [Line=48] - Starting DemoAngularBootApplication on Sancardenasv-PC with PID 9644 (C:\Users\Sancardenasv\workspace\demo-angular-boot\target\classes started by Sancardenasv in C:\Users\Sancardenasv\workspace\demo-angular-boot)
2017-02-12 11:43:03,384 [main] INFO  c.a.t.DemoAngularBootApplication [Method=logStartupProfileInfo] [Line=641] - The following profiles are active: production
2017-02-12 11:43:03,596 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [Method=prepareRefresh] [Line=582] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6150c3ec: startup date [Sun Feb 12 11:43:03 COT 2017]; root of context hierarchy
2017-02-12 11:43:04,219 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration' of type [class org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:43:04,279 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Method=postProcessAfterInitialization] [Line=325] - Bean 'validator' of type [class org.springframework.validation.beanvalidation.LocalValidatorFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-02-12 11:43:04,509 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer [Method=initialize] [Line=89] - Tomcat initialized with port(s): 8085 (http)
2017-02-12 11:43:04,519 [main] INFO  o.a.c.c.StandardService [Method=log] [Line=179] - Starting service Tomcat
2017-02-12 11:43:04,520 [main] INFO  o.a.c.c.StandardEngine [Method=log] [Line=179] - Starting Servlet Engine: Apache Tomcat/8.5.11
2017-02-12 11:43:04,601 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] [Method=log] [Line=179] - Initializing Spring embedded WebApplicationContext
2017-02-12 11:43:04,601 [localhost-startStop-1] INFO  o.s.w.c.ContextLoader [Method=prepareEmbeddedWebApplicationContext] [Line=276] - Root WebApplicationContext: initialization completed in 1005 ms
2017-02-12 11:43:04,723 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean [Method=onStartup] [Line=190] - Mapping servlet: 'dispatcherServlet' to [/]
2017-02-12 11:43:04,726 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [Method=configure] [Line=258] - Mapping filter: 'characterEncodingFilter' to: [/*]
2017-02-12 11:43:04,730 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [Method=configure] [Line=258] - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-02-12 11:43:04,730 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [Method=configure] [Line=258] - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-02-12 11:43:04,730 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean [Method=configure] [Line=258] - Mapping filter: 'requestContextFilter' to: [/*]
2017-02-12 11:43:05,055 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Method=initControllerAdviceCache] [Line=534] - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6150c3ec: startup date [Sun Feb 12 11:43:03 COT 2017]; root of context hierarchy
2017-02-12 11:43:05,111 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/api/contactList],methods=[GET]}" onto public java.util.List<com.aldeamo.training.entity.Contact> com.aldeamo.training.controller.DemoAngularBootController.returnContactList()
2017-02-12 11:43:05,114 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-02-12 11:43:05,114 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Method=register] [Line=543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-02-12 11:43:05,135 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:43:05,139 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:43:05,174 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Method=registerHandler] [Line=354] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-02-12 11:43:05,197 [main] INFO  o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping [Method=<init>] [Line=510] - Adding welcome page: class path resource [static/index.html]
